# L         T     T_err
# (erg)   (keV)   (keV)
5.89e44   2.86   0.02
3.98e44   6.29   0.12
2.45e45   6.51   1.18
2.75e45   7.99   0.69
2.24e45   5.87   0.08
3.24e45   6.45   0.32
6.03e44   5.93   0.24
5.37e44   3.71   0.07
8.91e42   2.50   0.13
7.94e44   4.60   0.56
8.51e44   5.28   0.58
7.24e43   2.17   0.04
2.14e45   5.93   0.45
2.69e45   7.20   0.76
2.19e44   4.01   0.13
1.51e45   6.99   0.24
5.37e43   2.28   0.05
3.02e45   8.07   0.20
 4.9e45   7.07   0.18
1.05e45   4.99   0.59
6.61e44   3.89   0.04
3.09e44   4.70   0.31
3.09e45   7.81   0.69
3.39e45   6.74   0.48
1.17e44   2.94   0.06
 1.2e44   3.14   0.10
1.02e44   4.12   0.90
1.48e44   3.04   0.30
2.82e44   4.09   0.07
   2e45   6.39   0.66
2.24e45   6.69   0.48
2.29e45   7.31   0.13
3.89e45   8.03   0.24
6.17e45   9.14   0.57
6.31e43   2.50   0.29
1.86e45   6.06   0.39
2.88e45   9.94   0.32
3.24e45  10.30   0.85
6.76e42   1.92   0.15
1.74e45   8.99   1.17
1.23e45   6.09   0.48
1.95e45   6.26   0.87
 2.4e45   6.60   0.38
1.74e45   5.75   0.23
7.41e44   4.51   0.19
8.13e43   3.20   0.04
1.41e45   3.87   0.12
5.13e44   2.98   0.16
1.41e45   3.78   0.17
1.78e45   6.04   0.40
4.57e45   8.26   0.61
1.41e44   3.47   0.05
3.55e45   7.09   0.26
2.24e45   5.38   0.37
1.48e45   7.18   0.55
3.39e45  13.09   1.29
4.79e44   4.87   1.22
1.78e45   5.99   0.35
 2.4e45   7.53   0.77
2.95e43   4.26   1.30
1.74e45   5.89   0.12
1.86e45   5.97   0.16
8.32e44   5.42   0.56
9.77e43   3.41   0.43
2.04e45   6.27   0.50
7.24e45   9.15   0.34
1.58e45   4.58   0.36
1.95e45   6.05   0.52
1.38e45   5.77   0.33
2.57e44   3.45   0.13
2.63e44   3.71   0.18
3.55e44   4.41   0.23
3.24e45   7.95   0.68
2.14e45   6.55   0.60
4.17e45   7.72   0.46
4.79e44   3.68   0.12
2.69e45   5.49   0.05
9.33e45   7.65   0.32
7.41e44   4.80   0.56
3.02e44   2.31   0.07
1.23e45   5.67   0.69
6.76e43   2.97   0.20
6.03e45   9.48   0.47
7.76e44   5.12   0.64
2.95e45  10.50   1.72
2.09e44   3.91   0.61
5.01e45   7.38   0.14
6.03e44   4.16   0.13
1.86e45   7.15   0.31
3.98e44   2.96   0.03
3.39e44   3.61   0.10
1.32e45   5.35   0.12
2.51e45   9.31   0.49
2.34e44   3.82   0.10
2.04e45   8.02   0.86
6.46e45   8.24   0.32
 3.8e44   4.45   0.10
3.16e43   3.09   0.26
1.51e46  12.12   0.59
1.02e45   5.42   0.39
9.77e42   1.96   0.17
7.94e44   4.14   0.04
6.76e45   6.97   0.18
2.29e45   6.97   0.35
8.71e45   9.81   0.62
1.86e45   5.57   0.16
1.26e45   6.42   0.15
2.14e45   6.90   0.15
1.41e45   5.32   0.28
 4.9e45   6.88   0.44
4.27e45   9.49   0.20
7.59e45   9.16   0.59
5.89e44   4.31   0.16
8.71e44   6.44   1.15
2.09e45   6.08   0.54
7.94e43   3.87   0.69
2.24e44   2.58   0.22
 5.5e44   6.40   0.61
1.02e44   2.22   0.47
4.57e44   4.13   0.27
8.71e43   2.91   0.07
2.75e44   3.55   0.09
1.26e45   3.58   0.07
1.35e44   3.40   0.08
3.24e44   3.77   0.07
 4.9e45   6.31   0.28
4.37e44   3.98   0.17
6.92e45   9.61   0.60
8.51e43   3.03   0.31
4.37e43   2.53   0.50
1.23e45   5.17   0.16
3.09e45   6.71   0.56
1.48e45   4.28   0.08
1.26e45   5.49   0.12
2.45e45   8.35   0.21
3.24e44   4.29   0.16
6.31e42   1.84   0.19
5.62e44   6.07   0.25
4.47e44   4.72   0.15
4.68e44   5.02   0.22
5.75e43   2.78   0.13
5.13e45   6.81   0.38
2.88e44   4.80   0.25
3.98e44   4.94   0.19
1.51e44   4.17   0.26
4.47e44   4.64   0.12
3.47e43   3.35   0.28
1.32e45   5.51   0.09
3.98e44   4.74   0.17
1.78e42   1.16   0.10
3.98e43   2.56   0.16
1.82e45   6.97   0.12
7.94e43   1.70   0.04
 3.8e44   4.17   0.32
2.75e44   5.83   0.08
2.19e45   6.72   0.19
1.26e45   5.07   0.16
1.62e45   5.73   0.42
3.16e44   3.06   0.04
5.75e44   3.92   0.06
 3.8e44   3.56   0.11
7.94e44   9.46   2.97
2.95e45   6.94   0.83
8.71e42   2.13   0.04
1.07e43   2.37   0.13
3.47e45   8.59   0.86
2.69e43   2.64   0.32
5.89e43   2.48   0.06
2.95e44   3.71   0.05
9.33e44   6.58   3.26
1.32e44   3.96   0.05
3.16e43   2.24   0.11
6.92e45   8.74   0.74
4.07e45   6.61   0.62
7.08e45   7.52   0.38
 5.5e44   4.85   1.10
2.95e45  10.44   0.21
 1.2e46  11.64   0.54
3.31e42   1.36   0.02
9.33e41   0.78   0.04
7.76e42   1.35   0.05
 1.7e42   3.63   0.98
 4.9e42   1.05   0.03
2.51e41   0.78   0.09
 1.7e44   3.24   0.07
2.82e42   1.02   0.07
   1e44   2.33   0.07
7.41e44   4.15   0.26
8.71e44   3.54   0.06
5.13e44   3.41   0.06
1.45e43   2.16   0.06
3.39e43   1.83   0.03
6.76e43   3.03   0.13
3.09e43   1.95   0.11
 1.1e45  10.38   3.08
7.41e44   5.28   1.61
1.32e45   5.35   1.00
4.17e44   3.61   1.03
6.31e44   5.02   0.56
6.03e45   8.62   1.38
1.82e45   5.45   0.49
4.79e44   3.53   0.71
1.41e44   4.46   1.96
6.92e44   3.80   0.24
2.19e45   7.03   0.85
1.58e45   7.47   1.38
5.89e45  13.21   3.41
1.15e45   5.79   0.21
 5.5e45  60.32  32.27
9.33e44   6.04   1.21
6.76e44   4.75   1.12
2.34e45   7.22   2.22
5.89e44   4.13   0.34
2.63e44   2.91   0.43
2.09e45   6.70   0.52
   1e45   8.75   2.50
2.88e45   4.51   0.21
8.32e44   3.59   0.82
3.31e44   3.60   0.79
1.55e45   6.54   1.18
7.94e44   4.45   0.66
2.14e45  22.90  31.53
3.09e45   4.57   0.38
4.17e42   0.77   0.02
1.41e43   1.27   0.03
 4.9e42   1.20   0.05
8.71e42   1.08   0.05
7.76e41   0.98   0.05
1.51e42   1.36   0.10
7.76e42   2.04   0.08
7.94e41   2.18   0.18
1.62e43   0.95   0.02
 1.2e43   1.01   0.01
6.61e42   0.84   0.03
1.45e42   0.73   0.02
 1.1e42   0.73   0.02
3.47e43   2.87   0.13
8.71e42   1.00   0.07
6.76e42   1.45   0.13
 3.8e45  11.79   0.30
1.38e42   0.90   0.07
7.08e42   1.98   0.18
6.17e43   2.31   0.07
7.94e42   2.27   0.14
9.55e43   3.34   0.19
3.39e42   1.90   0.16
4.47e42   1.44   0.15
2.45e42   0.92   0.04
 5.5e45   6.25   0.13
2.63e45   6.66   0.62
3.55e45   7.19   0.40
4.79e45   8.44   0.81
1.58e45   4.34   0.30
6.92e45   6.40   0.29
1.55e45   5.62   0.72
 3.8e45  10.49   0.73
1.66e43   1.22   0.05
1.95e46  10.88   0.70
 2.4e45   5.87   1.19
5.75e45   5.44   0.32
2.45e45  21.83  20.20
3.31e45   5.45   0.28
4.07e42   1.76   0.33
3.72e45   6.10   0.35
 2.4e44   3.48   0.11
9.77e43   3.79   0.21
3.63e45  10.19   0.29
6.46e43   3.87   0.23
2.51e42   1.43   0.26
3.16e42   0.74   0.06
6.61e44   5.17   1.64
3.72e45   9.21   1.35
9.55e43   3.58   0.13
