# x_postion   wavelength
#------------ ----------
67.3242307692 3261.35594
121.775769231 3344.68273
121.891538462 3344.85839
298.398846154 3611.62622
323.983846154 3650.66064
332.135384615 3663.13684
576.024615385 4046.56651
595.342307692 4077.74086
645.109615385 4158.49799
766.809230769 4358.17001
986.007692308 4722.36762
1032.53576923 4800.02861
1038.89615385 4810.64959
1102.00692308 4916.0794
1203.43884615 5085.62379
1427.83730769 5460.48851
1613.88038462 5769.61962
1626.65230769 5790.72643
1664.18615385 5852.63996
1720.28269231 5944.82804
1739.13384615 5975.70819
1772.38653846 6030.05324
1799.52538462 6074.2883
1812.94115385 6096.11727
1841.81192308 6143.01254
1854.39038462 6163.41201
1887.62807692 6217.23527
1918.05115385 6266.42254
1941.81461538 6304.81514
1960.22846154 6334.56281
